id,priority,segment,name,contact_channel,contact_value,link_sent,message_template,status,last_touch,next_touch,next_status_if_replied,next_question,money_signal,notes
fw18,high,local_partner,Uppa Winery,phone,+7 8692 22-31-00 info@uppawinery.ru,https://winepool.ru/partners-crimea,partner_short,sent,2026-07-06 23:48,2026-07-07,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,source: https://uppawinery.ru/
fw19,high,local_partner,Mangup Estate,site_form,+7 (917) 519-28-11; booking form on site,https://winepool.ru/partners-crimea,partner_short,sent,2026-07-06 23:57,2026-07-07,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,source: https://mangup.estate/
fw20,high,local_partner,Усадьба Перовских,phone,+7 (985) 773-97-92 eremin@raziogroup.com - Игорь Еремин (по сотрудничеству),https://winepool.ru/partners-crimea,partner_short,sent,2026-07-07 00:20,2026-07-08,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,"source: https://perovskywinery.ru/ru/tours/ | 2026-07-07 00:21: По общим вопросам и сотрудничеству:  Игорь Еремин +7 (985) 773-97-92 eremin@raziogroup.com  По продажам:  Алексей Кукоба +7 (985) 835-82-32  alexey.kukoba@perovskywinery.ru  Екатерина Марченкова Региональный менеджер по республике Крым +7 (978) 742-26-93 ekaterina.marchenkova@raziogroup.com  По вопросам рекламы:  marketing@perovskywinery.ru  По вопросам винных туров, экскурсий и дегустаций:  Светлана Александрова +7 (978) 569-90-24.  Отдел персонала (трудоустройство):  +7 (978) 541-88-02"
fw21,high,local_partner,Бельбек,phone_email,+7 (978) 094-69-78 Наталья; b4547@yandex.ru,https://winepool.ru/partners-crimea,partner_short,new,,,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,source: https://belbekwine.com/
fw22,medium,local_partner,ESSE Wine Tour,phone,+7 978 788 75 30,https://winepool.ru/partners-crimea,partner_short,new,,,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,source: https://essewinetour.ru/
fw23,medium,local_partner,Alma Valley wine tourism,phone,+7 (978) 968-44-22,https://winepool.ru/partners-crimea,partner_short,new,,,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,source: https://www.alma-valley.ru/wine-tourism.html
ww001,medium,local_partner,Alma Valley,phone_or_email,+7 (978) 968-44-22; office@alma-valley.ru,https://winepool.ru/partners-crimea,partner_short,new,,,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,Гравитационная винодельня; есть винный туризм; возможен длиннее цикл согласования; source: https://www.alma-valley.ru/wine-tourism.html
ww002,medium,local_partner,Золотая Балка,phone_or_email,+7 978 784-14-40; winetour@zbkrim.ru,https://winepool.ru/partners-crimea,partner_short,new,,,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,"Севастополь; экскурсии, дегустации, мастер-классы; можно обсуждать отдельные заявки/маршруты; source: https://zbtour.ru/catalog/ekskursii/"
ww003,high,local_partner,Ароматное,phone_or_email,+7 (985) 922-99-34; info@kupislova.ru,https://winepool.ru/partners-crimea,partner_short,duplicate,2026-07-06 22:14,,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,Малое органическое хозяйство; авторский туризм; хороший fit для кризисного пилота; source: https://aromatnoe.com/
ww004,high,local_partner,Le K2 Winery,phone_or_email,+7 (978) 533-23-23; lek2winery@gmail.com,https://winepool.ru/partners-crimea,partner_short,new,,,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,"Севастополь, с. Родное; есть точный адрес и отдел продаж; проверить формат приема гостей; source: https://t.me/lek2winery"
ww005,medium,local_partner,Дневник винодельни BOGOVICH,telegram_or_email,bogovich.wine@yandex.ru; https://t.me/bogovichwine,https://winepool.ru/partners-crimea,partner_short,sent,2026-07-06 23:43,2026-07-07,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,"Севастополь; авторский канал; нужно уточнить готовность к дегустациям/группам; source: https://t.me/irinabogovich | 2026-07-07 00:03: Ирина просила помощи, катается в поисках сбыта, вероятный кандидат в партнеры"
ww006,high,local_partner,AYA,phone,+7 988 240-31-20; +7 861 240-31-20,https://winepool.ru/partners-crimea,partner_short,new,,,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,"Вилла, ресторан, винодельня, экскурсии и дегустации; сильный tourism-ready кандидат; source: https://t.me/aya_wine"
ww007,medium,local_partner,Domaine Lipko,phone_or_site,+7 (978) 532-91-89; https://domainelipko.com/,https://winepool.ru/partners-crimea,partner_short,new,,,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,Севастополь; авторская винодельня; уточнить формат визитов; source: https://t.me/domainelipko
ww008,high,local_partner,Loco Cimbali Winery,partner_tour_phone,экскурсии через zbtour.ru/loco; +7 978 784-14-40,https://winepool.ru/partners-crimea,partner_short,new,,,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,Балаклава; экскурсии через Золотую Балку; можно предложить отдельные заявки на посещение; source: https://t.me/lococimbaliwinery
