"priority","segment","name","organization","city","source_url","contact_channel","contact_value","status","offer","next_action","money_signal","notes"
"medium","winery_or_destination","Дневник винодельни BOGOVICH","BOGOVICH","Севастополь","https://t.me/irinabogovich","telegram_or_email","bogovich.wine@yandex.ru; https://t.me/bogovichwine","new","winery_tasting_success_fee","send_partner_message","none","Севастополь; авторский канал; нужно уточнить готовность к дегустациям/группам; has_tasting=unknown; accepts_groups=unknown; scale=small"
"high","winery_or_destination","AYA","AYA Organic Wine & Vineyards","Севастополь, с. Родное","https://t.me/aya_wine","phone","+7 988 240-31-20; +7 861 240-31-20","new","winery_tasting_success_fee","send_partner_message","none","Вилла, ресторан, винодельня, экскурсии и дегустации; сильный tourism-ready кандидат; has_tasting=yes; accepts_groups=yes; scale=medium"
"medium","winery_or_destination","Domaine Lipko","Domaine Lipko","Севастополь","https://t.me/domainelipko","phone_or_site","+7 (978) 532-91-89; https://domainelipko.com/","new","winery_tasting_success_fee","send_partner_message","none","Севастополь; авторская винодельня; уточнить формат визитов; has_tasting=unknown; accepts_groups=unknown; scale=small"
"high","winery_or_destination","Loco Cimbali Winery","Loco Cimbali Winery","Севастополь, Балаклава","https://t.me/lococimbaliwinery","partner_tour_phone","экскурсии через zbtour.ru/loco; +7 978 784-14-40","new","winery_tasting_success_fee","send_partner_message","none","Балаклава; экскурсии через Золотую Балку; можно предложить отдельные заявки на посещение; has_tasting=yes; accepts_groups=yes; scale=small"
"high","winery_or_destination","Усадьба Родное гнездо","Усадьба Родное гнездо","Севастополь, с. Родное","https://rodnoegnezdo.ru/","phone_or_email","+7 (978) 534-98-90; +7 (916) 911-51-55; booking@rodnoegnezdo.ru","new","winery_tasting_success_fee","send_partner_message","none","Винодельня/усадьба с размещением; сильный кандидат на маршруты и группы; has_tasting=yes; accepts_groups=yes; scale=small"
"medium","winery_or_destination","Domaine de la Vivandière","Domaine de la Vivandière","Крым, Бахчисарай","https://t.me/domainedelavivandiere","telegram","https://t.me/domainedelavivandiere","new","winery_tasting_success_fee","send_partner_message","none","Крымское фермерское хозяйство; активный канал; нужен быстрый вопрос по визитам и группам; has_tasting=unknown; accepts_groups=unknown; scale=small"
"medium","winery_or_destination","Солнечная Долина","Винодельня Солнечная Долина","Крым, Судак","https://sunvalley1888.ru/contacts","phone_or_email","+7 (978) 956-33-22; +7 (978) 856-42-42; office@sunvalley1888.ru","new","winery_tasting_success_fee","send_partner_message","none","Крым, Судак; есть экскурсии и дегустации; крупнее, но готовый туристический продукт; has_tasting=yes; accepts_groups=yes; scale=large"
"medium","winery_or_destination","Коммуналка Wine","Коммуналка Wine","Крым, Бахчисарайский район","https://t.me/comm_wine","telegram","https://t.me/comm_wine","new","winery_tasting_success_fee","send_partner_message","none","Крымский малый проект; активный канал; нужно уточнить прием гостей и формат дегустации; has_tasting=unknown; accepts_groups=unknown; scale=small"
"high","winery_or_destination","BaklaVines","BaklaVines","Крым, Бахчисарайский район","https://t.me/BaklaVines","phone_or_telegram","+7 (906) 033-69-71; https://t.me/BaklaVines","new","winery_tasting_success_fee","send_partner_message","none","Малый крымский проект; дегустации/джип-туры; хороший fit для WinePool Tourism; has_tasting=yes; accepts_groups=unknown; scale=small"
"high","winery_or_destination","Два Петра","Два Петра","Крым, Феодосия","https://two-peters.ru/","phone_or_email","+7 978 866-00-95; +7 978 896-61-88; spdolinavin@mail.ru","new","winery_tasting_success_fee","send_partner_message","none","Феодосия; экскурсии, дегустации, виноградники и туристические сеты; has_tasting=yes; accepts_groups=yes; scale=small"
"low","winery_or_destination","INKERMAN","INKERMAN","Севастополь","https://inkerman.ru/trip/","site_trip","контакт экскурсий проверить на inkerman.ru/trip","later","winery_tasting_success_fee","strategic_review_after_pilot","long_cycle","Крупная винодельня с программами путешествий; контакт нужно уточнить перед отправкой; has_tasting=yes; accepts_groups=yes; scale=large; крупная компания; не первая волна, вернуться после быстрых пилотов с малыми/средними"
